,satisfaction_level,last_evaluation,number_project,average_montly_hours,time_spend_company,Work_accident,promotion_last_5years,low,medium,IT,RandD,accounting,hr,management,marketing,product_mng,sales,support,technical
6723,0.99,0.57,3,189,4,1,0,0,1,0,0,0,0,0,0,0,1,0,0
6473,0.71,0.97,3,173,2,1,0,0,1,0,0,0,0,0,1,0,0,0,0
4679,0.72,0.61,5,170,3,0,0,0,1,0,0,0,0,0,0,0,0,0,1
862,0.24,0.65,6,194,3,0,0,1,0,0,0,0,0,0,0,0,0,0,1
7286,0.98,0.56,3,139,2,1,0,1,0,0,0,0,0,0,0,0,0,1,0
8127,0.89,0.85,3,166,3,0,0,0,1,0,0,0,0,0,0,0,0,1,0
3017,0.59,0.9,4,261,4,0,0,0,1,0,0,0,0,0,0,0,0,0,1
3087,0.54,0.93,5,189,2,0,0,0,1,0,0,0,0,0,0,0,0,1,0
6425,0.6,0.74,4,174,3,0,0,1,0,0,0,1,0,0,0,0,0,0,0
2250,0.65,0.98,3,136,3,0,0,1,0,0,0,0,0,0,0,0,0,1,0
542,0.94,0.82,3,187,3,0,0,1,0,0,0,0,0,0,0,0,1,0,0
9293,0.87,0.48,5,170,3,0,0,1,0,0,0,0,0,0,0,0,1,0,0
11723,0.38,0.51,2,146,3,0,0,0,1,1,0,0,0,0,0,0,0,0,0
4923,0.67,0.73,4,251,3,0,0,0,0,0,0,0,0,0,0,0,0,1,0
12070,0.73,0.97,5,235,5,0,0,1,0,0,0,0,1,0,0,0,0,0,0
10602,0.61,0.97,6,286,4,0,0,0,1,0,0,0,0,0,0,1,0,0,0
11874,0.44,0.46,2,143,3,0,0,1,0,1,0,0,0,0,0,0,0,0,0
11118,0.83,0.48,4,220,3,1,0,1,0,0,0,0,0,0,0,0,0,1,0
10778,0.53,0.61,3,148,10,0,0,0,0,0,0,0,0,1,0,0,0,0,0
8054,0.89,0.52,4,189,3,0,0,0,1,0,0,0,0,0,0,0,0,1,0
2312,0.59,0.9,2,219,2,1,0,0,1,0,0,0,0,0,0,0,0,0,1
14768,0.43,0.57,2,157,3,0,0,1,0,0,0,0,0,0,0,0,1,0,0
1889,0.76,0.52,3,248,3,0,0,0,1,0,1,0,0,0,0,0,0,0,0
8990,0.78,0.55,3,143,3,0,0,1,0,0,1,0,0,0,0,0,0,0,0
169,0.57,0.81,3,142,2,0,0,0,1,0,0,0,1,0,0,0,0,0,0
1795,0.17,0.88,6,226,3,1,0,0,0,0,0,0,0,0,0,0,0,0,1
14303,0.42,0.48,2,143,3,0,0,1,0,0,0,0,0,0,0,0,1,0,0
3919,0.31,0.69,3,120,3,0,0,1,0,0,0,0,0,0,0,0,0,0,1
14018,0.38,0.55,2,148,3,0,0,1,0,0,0,0,0,0,0,0,0,1,0
3728,0.73,0.45,5,232,4,0,0,1,0,0,0,1,0,0,0,0,0,0,0
1039,0.16,0.87,3,99,5,1,0,0,1,1,0,0,0,0,0,0,0,0,0
2848,0.14,0.83,5,171,6,0,0,0,1,0,0,0,0,0,0,0,0,0,1
7864,0.76,0.5,3,196,3,1,0,0,1,0,0,0,0,0,0,0,1,0,0
12036,0.45,0.49,2,134,3,0,0,0,1,0,1,0,0,0,0,0,0,0,0
10411,0.43,0.51,5,168,4,0,0,0,1,0,0,0,0,0,0,1,0,0,0
8796,1.0,0.55,4,186,4,1,0,0,1,0,0,0,0,0,0,0,0,0,1
764,0.69,0.65,4,232,2,1,0,1,0,0,0,0,0,0,0,0,1,0,0
1593,0.81,0.77,4,197,3,0,0,1,0,0,0,0,0,0,1,0,0,0,0
9214,0.5,1.0,5,264,8,0,1,0,0,0,0,1,0,0,0,0,0,0,0
7113,0.82,0.57,2,158,3,1,0,0,1,0,0,0,1,0,0,0,0,0,0
10360,0.13,0.61,5,198,5,0,0,0,1,0,0,0,0,0,0,0,1,0,0
5145,0.53,0.51,6,272,5,0,0,0,1,0,0,0,0,0,0,0,0,0,1
10908,0.61,0.6,3,255,2,0,0,0,1,0,1,0,0,0,0,0,0,0,0
11488,0.85,0.91,5,226,5,0,0,0,1,0,0,0,0,1,0,0,0,0,0
9881,0.66,0.66,4,273,4,1,0,1,0,1,0,0,0,0,0,0,0,0,0
8473,0.64,0.72,4,152,3,1,0,0,1,0,0,0,0,0,0,0,1,0,0
149,0.68,0.46,4,143,3,0,0,1,0,0,0,0,0,0,0,0,1,0,0
13591,0.79,0.89,5,239,5,0,0,1,0,0,0,0,0,0,0,0,1,0,0
387,0.74,0.78,5,216,2,0,0,1,0,0,0,0,0,0,0,0,1,0,0
12374,0.37,0.46,2,131,3,0,0,1,0,0,0,0,1,0,0,0,0,0,0
4514,0.71,0.88,3,158,3,0,0,0,1,0,0,1,0,0,0,0,0,0,0
