,Unnamed: 0,satisfaction_level,last_evaluation,number_project,average_montly_hours,time_spend_company,Work_accident,promotion_last_5years,left,low,medium,IT,RandD,accounting,hr,management,marketing,product_mng,sales,support,technical
0,0,0.58,0.74,4,215,3,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
1,1,0.82,0.67,2,202,3,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
2,2,0.45,0.69,5,193,3,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
3,3,0.78,0.82,5,247,3,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
4,4,0.49,0.6,3,214,2,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
5,5,0.36,0.95,3,206,4,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
6,6,0.54,0.37,2,176,2,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
7,7,0.99,0.91,5,136,4,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
8,8,0.5,0.75,6,127,3,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
9,9,0.74,0.64,4,268,3,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
10,10,0.56,0.58,4,258,3,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0
11,11,0.34,0.39,2,136,3,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0
12,12,0.48,0.94,5,255,6,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0
13,13,0.73,0.62,3,218,3,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0
14,14,0.59,0.87,3,268,4,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0
15,15,0.81,0.57,3,224,2,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0
16,16,0.9,0.66,3,231,3,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0
17,17,0.41,0.84,6,191,6,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0
18,18,0.89,0.92,4,165,5,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0
19,19,0.48,0.84,4,252,3,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
20,20,0.79,0.97,5,266,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
21,21,0.98,0.66,5,248,3,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
22,22,0.75,0.7,4,144,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
23,23,1.0,0.41,4,174,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
24,24,0.24,0.82,5,179,6,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
25,25,0.84,0.43,6,246,4,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
26,26,0.56,0.86,4,201,3,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1
27,27,0.92,0.93,4,208,3,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
28,28,0.61,0.98,3,267,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
29,29,0.84,0.77,4,262,4,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
30,30,0.85,0.59,3,235,3,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
31,31,0.67,0.57,2,160,4,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
32,32,0.54,0.94,4,267,4,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
33,33,0.75,0.56,5,175,4,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
34,34,0.82,0.79,4,224,2,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
35,35,0.76,0.6,4,177,2,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
36,36,0.19,0.53,6,191,4,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
37,37,0.61,0.41,3,138,3,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
38,38,0.51,0.8,3,218,2,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0
39,39,0.52,0.88,3,179,2,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0
40,40,0.74,0.58,3,241,3,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
41,41,0.98,0.91,4,240,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
42,42,0.71,0.92,3,202,4,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
43,43,0.33,0.88,6,260,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
44,44,0.98,0.97,3,196,3,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0
45,45,0.52,0.59,2,176,3,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0
46,46,0.84,0.65,2,140,3,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0
47,47,0.87,0.5,3,242,2,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0
48,48,0.48,0.85,3,279,4,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0
49,49,0.58,0.55,4,202,3,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0
50,50,0.58,0.84,5,228,3,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0
51,51,0.73,0.69,4,171,3,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0
52,52,0.68,0.54,4,153,3,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0
53,53,0.41,0.68,3,165,3,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0
54,54,0.85,0.6,3,182,3,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0
55,55,0.54,0.7,5,239,5,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0
56,56,0.81,0.61,5,231,2,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0
57,57,0.7,0.52,4,255,3,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0
58,58,0.63,0.66,4,237,2,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0
59,59,0.68,0.54,3,251,2,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0
60,60,0.7,0.53,4,178,2,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
